DATE,demand_mw_sum,demand_mw_mean,demand_mw_max,forecast_mw_sum,forecast_mw_mean,forecast_mw_max,fcst_error_mean,fcst_abs_error_sum,fcst_ape_mean,year,month,day,dow,is_weekend,is_holiday,dow_sin,dow_cos,month_sin,month_cos,F_P7_sin1,F_P7_cos1,F_P7_sin2,F_P7_cos2,F_P7_sin3,F_P7_cos3,F_P365_sin1,F_P365_cos1,F_P365_sin2,F_P365_cos2,F_P365_sin3,F_P365_cos3,demand_mw_sum_lag1,demand_mw_sum_lag7,demand_mw_sum_lag14,demand_mw_sum_lag28,demand_mw_sum_roll7_mean,demand_mw_sum_roll7_std,demand_mw_sum_roll14_mean,demand_mw_sum_roll14_std,temp_c_mean_lag1,temp_c_mean_lag7,forecast_mw_sum_lag1,forecast_mw_sum_lag7,cloud_cover,humidity,irradiance,precipitation,rn_temp_c,wind_speed,rn_temp_c_max,wind_speed_max,irradiance_max,precipitation_max,cloud_cover_max,humidity_max
2010-01-01,374464.94,7801.352916666667,8883.98,371544.79,7740.516458333333,8828.45,-60.836458333333404,5539.9299999999985,1.518815365506682,2010,1,1,4,0,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,374464.94,,374464.94,,,,,,0.6587500000000001,0.013958333333333331,6566.473,3.182,24.172708333333333,1.9374166666666666,27.53,2.455,814.862,0.212,0.855,0.015
2010-01-02,384838.07,8017.459791666667,9294.07,380738.11,7932.043958333333,9196.87,-85.41583333333318,5437.939999999992,1.437769055688671,2010,1,2,5,1,0,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,0.017213356155834685,0.9998518392091162,0.03442161162274574,0.9994074007397048,0.051619667223253764,0.998666816288476,374464.94,,,,379651.505,7334.910565129615,379651.505,7334.910565129615,25.183333333333334,,371544.79,,0.3087083333333333,0.013083333333333334,7220.681,9.976,22.872291666666666,2.2902916666666666,28.724,3.333,911.016,0.829,0.567,0.015
2010-01-03,355195.18,7399.899583333333,8247.61,356437.13,7425.7735416666665,8293.91,25.87395833333333,3057.55,0.8813579418752725,2010,1,3,6,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,0.03442161162274574,0.9994074007397048,0.06880242680231986,0.9976303053065857,0.10310169744743485,0.9946708199115211,384838.07,,,,371499.39666666667,15042.309242082267,371499.39666666667,15042.309242082267,24.748958333333334,,380738.11,,0.4150416666666667,0.010916666666666667,6975.0070000000005,2.934,19.881916666666665,2.5902083333333334,23.36,3.273,795.897,0.298,0.544,0.011
2010-01-04,395602.57,8241.720208333334,9468.92,399296.8,8318.683333333332,9638.88,76.96312499999999,4266.75,1.0751465295003948,2010,1,4,0,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,0.051619667223253764,0.998666816288476,0.10310169744743485,0.9946708199115211,0.15430882066428117,0.9880226656636976,355195.18,,,,377525.19,17207.211261768527,377525.19,17207.211261768527,19.46059027777778,,356437.13,,0.12804166666666666,0.011041666666666667,8053.354,0.264,21.534125,2.396375,25.72,3.05,888.921,0.049,0.346,0.012
2010-01-05,423735.03,8827.813125,10687.29,425227.19,8858.899791666667,10702.59,31.086666666666776,4014.6200000000026,0.9521205100493639,2010,1,5,1,0,0,0.7818314824680297,0.6234898018587336,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587338,-0.9749279121818235,-0.2225209339563148,0.06880242680231986,0.9976303053065857,0.13727877211326478,0.9905324521322229,0.2051044998686192,0.9787400799669153,395602.57,,,,386767.158,25478.14655975726,386767.158,25478.14655975726,20.842708333333334,,399296.8,,0.3315416666666667,0.012916666666666667,8012.107,3.3890000000000002,23.8085,1.8999166666666667,28.832,2.818,1057.264,0.519,0.56,0.014
2010-01-06,433042.65,9021.721875000001,10879.15,434209.64,9046.034166666666,10963.49,24.312291666666606,4874.089999999999,1.1671470042859655,2010,1,6,2,0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,0.08596479873744647,0.9962981749346078,0.1712931441814776,0.9852201067560606,0.255353295116187,0.9668478136052776,423735.03,,,,394479.74,29600.88323575364,394479.74,29600.88323575364,22.660416666666666,,425227.19,,0.378625,0.012666666666666666,7573.807,0.846,22.550166666666666,2.300291666666667,27.659,2.737,933.407,0.101,0.545,0.013
2010-01-07,411208.68,8566.8475,9864.35,414151.64,8628.159166666666,10002.94,61.31166666666663,4346.039999999993,1.0381549536966632,2010,1,7,3,0,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,0.10310169744743485,0.9946708199115211,0.2051044998686192,0.9787400799669153,0.30492122465628907,0.9523775757303974,433042.65,,,,396869.5885714286,27751.694368232398,396869.5885714286,27751.694368232398,22.693749999999998,,434209.64,,0.2910833333333333,0.011791666666666667,7636.406,1.318,21.942708333333332,1.9991666666666665,25.925,2.744,954.367,0.154,0.356,0.012
2010-01-08,428486.93,8926.811041666666,10659.19,429020.08,8937.918333333333,10650.51,11.107291666666677,3905.3699999999963,0.8848286662731145,2010,1,8,4,0,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,0.1202080448993527,0.9927487224577402,0.2386727660059501,0.9711000518829505,0.3536761221763716,0.9353679493131483,411208.68,374464.94,,,404587.0157142858,27993.20295866831,400821.75625,28019.47915795416,21.879166666666666,25.183333333333334,414151.64,371544.79,0.20204166666666667,0.012833333333333334,8821.803,0.207,23.954875,1.9188333333333334,29.505,2.708,1042.839,0.032,0.676,0.014
2010-01-09,443638.09,9242.460208333334,11524.52,438303.7,9131.327083333334,11322.19,-111.13312499999996,5927.270000000001,1.303307526348068,2010,1,9,5,1,0,-0.9749279121818235,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.7818314824680296,0.6234898018587338,0.9749279121818237,-0.22252093395631387,0.43388373911755884,-0.9009688679024188,0.13727877211326478,0.9905324521322229,0.2719581575341055,0.9623090774541486,0.401487989205973,0.9158642882672872,428486.93,384838.07,,,412987.01857142855,29840.58109731806,405579.1266666667,29843.725810964457,23.036458333333332,24.748958333333334,429020.08,380738.11,0.252375,0.012041666666666666,8939.597,0.005,27.604625,1.6027916666666666,33.562,2.448,1073.849,0.001,0.792,0.013
2010-01-10,436849.95,9101.040625,10976.44,437470.11,9113.960625,11139.66,12.920000000000016,6528.160000000001,1.4460905074184642,2010,1,10,6,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.9749279121818237,-0.2225209339563141,-0.43388373911755757,-0.9009688679024194,-0.7818314824680304,0.6234898018587328,0.15430882066428117,0.9880226656636976,0.30492122465628907,0.9523775757303974,0.4482293417404106,0.893918596519257,443638.09,355195.18,,,424651.98571428575,16430.684521877476,408706.209,29824.04271536324,27.416666666666668,19.46059027777778,438303.7,356437.13,0.3015,0.012249999999999999,8231.567,0.28400000000000003,24.334999999999997,2.2745,30.922,3.22,1061.706,0.053,0.64,0.013
